Week,Team1,Team2
1,nani29,Galaticos FC
1,dautamhanhxxxlll,Namdzai
1,savapain,PhiHungDentist
1,Morningstar FC,Johnny Walker
2,nani29,dautamhanhxxxlll
2,savapain,Galaticos FC
2,Morningstar FC,Namdzai
2,Johnny Walker,PhiHungDentist
3,nani29,savapain
3,Morningstar FC,dautamhanhxxxlll
3,Johnny Walker,Galaticos FC
3,PhiHungDentist,Namdzai
4,nani29,Morningstar FC
4,Johnny Walker,savapain
4,PhiHungDentist,dautamhanhxxxlll
4,Namdzai,Galaticos FC
5,nani29,Johnny Walker
5,PhiHungDentist,Morningstar FC
5,Namdzai,savapain
5,Galaticos FC,dautamhanhxxxlll
6,nani29,PhiHungDentist
6,Namdzai,Johnny Walker
6,Galaticos FC,Morningstar FC
6,dautamhanhxxxlll,savapain
7,nani29,Namdzai
7,Galaticos FC,PhiHungDentist
7,dautamhanhxxxlll,Johnny Walker
7,savapain,Morningstar FC
